AmountPledged,ofImages,ofVideos,ofDescText,backedProjects,createdProjects,websiteLinked,collaborator,accountVerified,facebookConnected,facebookFriends,noOfRewards,pledgeDescLength,pledge_ColemanLiau,followers_count,friends_count,public_list_count,tweets_count,likes_count,rating
17000.0,4.0,1.0,759.0,3.0,1.0,1.0,10.0,0.0,1.0,830.0,8.0,317.0,7.94,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
17000.0,4.0,1.0,759.0,3.0,1.0,1.0,8.0,0.0,1.0,830.0,8.0,317.0,7.94,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
17000.0,4.0,1.0,759.0,3.0,1.0,1.0,3.0,0.0,1.0,830.0,8.0,317.0,7.94,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
3500.0,0.0,1.0,242.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,6.0,136.0,7.02,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
20000.0,22.0,1.0,965.0,40.0,5.0,5.0,3.0,1.0,1.0,487.0,9.0,296.0,9.17,1703.0,1471.0,76.0,5815.0,3205.0,1.0
15000.0,12.0,2.0,1418.0,42.0,3.0,3.0,3.0,1.0,0.0,0.0,10.0,357.0,10.41,18665.0,19132.0,119.0,2545.0,3210.0,1.0
11000.0,6.0,1.0,1529.0,1.0,1.0,1.0,8.0,1.0,0.0,0.0,12.0,766.0,7.43,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
150000.0,18.0,1.0,1808.0,8.0,4.0,1.0,3.0,1.0,0.0,0.0,11.0,362.0,13.45,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
35000.0,31.0,1.0,592.0,9.0,1.0,4.0,10.0,1.0,0.0,0.0,7.0,331.0,8.09,1672.0,1641.0,53.0,3850.0,1041.0,1.0
100000.0,16.0,1.0,2102.0,74.0,3.0,4.0,8.0,0.0,0.0,0.0,24.0,2752.0,11.71,1145971.0,741.0,11581.0,89651.0,742.0,1.0
30000.0,25.0,1.0,2009.0,7.0,2.0,1.0,8.0,1.0,0.0,0.0,16.0,672.0,6.95,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
50000.0,8.0,1.0,1496.0,1.0,3.0,2.0,1.0,1.0,1.0,716.0,17.0,1100.0,11.73,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
100000.0,22.0,1.0,1845.0,29.0,2.0,5.0,5.0,1.0,0.0,0.0,16.0,567.0,12.84,24402.0,318.0,1006.0,8664.0,1958.0,1.0
70000.0,27.0,1.0,2146.0,13.0,1.0,5.0,5.0,1.0,1.0,1305.0,17.0,969.0,8.35,9729.0,3183.0,296.0,15879.0,5988.0,1.0
100000.0,27.0,1.0,2536.0,22.0,2.0,3.0,1.0,1.0,1.0,2330.0,11.0,635.0,10.84,21293.0,5257.0,688.0,14774.0,10940.0,1.0
20000.0,9.0,1.0,567.0,49.0,2.0,3.0,5.0,0.0,1.0,654.0,6.0,209.0,8.75,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
5000.0,15.0,1.0,893.0,15.0,2.0,1.0,3.0,1.0,0.0,0.0,10.0,239.0,7.05,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,0.0
11200.0,28.0,1.0,1647.0,6.0,1.0,4.0,1.0,1.0,1.0,741.0,17.0,826.0,14.78,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,1.0
7000.0,7.0,1.0,1747.0,284.0,2.0,3.0,3.0,1.0,1.0,1397.0,11.0,560.0,8.52,1514.0,1166.0,66.0,2546.0,3818.0,1.0
100000.0,10.0,2.0,837.0,1.0,1.0,2.0,8.0,1.0,0.0,0.0,40.0,1776.0,7.88,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,0.0
