MoneyRaised,AmountPledged,FAQcount,UpdateCount,ofImages,ofVideos,ofDescText,backersMaxRewards,backedProjects,createdProjects,websiteLinked,collaborator,accountVerified,facebookConnected,facebookFriends,countCreator,noOfRewards,pledgeDescLength,pledge_ColemanLiau,RaisedAndPledgedRatio,followers_count,friends_count,public_list_count,tweets_count,likes_count,positivePercentage,negativePercentage,X.positive,New Backers,Returning Backers,Backers,rating
15570.0,4000.0,0.0,29.0,1.0,1.0,492.0,82.0,278.0,7.0,3.0,1.0,0.0,0.0,0.0,33.0,3.0,121.0,9.92,3.89,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,25.217391304299998,29.0,436.0,322.0,758.0,1.0
883460.0,35000.0,18.0,23.0,31.0,1.0,592.0,9.0,9.0,1.0,4.0,3.0,1.0,0.0,0.0,202.0,7.0,331.0,8.09,25.24,1672.0,1641.0,53.0,3850.0,1041.0,1672.0,29.4368600683,345.0,124.0,7895.0,8019.0,1.0
183497.0,26000.0,4.0,24.0,16.0,1.0,294.0,18.0,31.0,1.0,2.0,3.0,0.0,0.0,0.0,41.0,9.0,539.0,8.58,7.06,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,32.2085889571,105.0,1504.0,3910.0,5414.0,1.0
20338986.0,500000.0,17.0,33.0,32.0,3.0,2291.0,142.0,109.0,3.0,4.0,3.0,1.0,1.0,1031.0,7.0,12.0,282.0,8.68,40.68,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,32.5236907731,6521.0,35097.0,43374.0,78471.0,1.0
2437429.0,250000.0,24.0,83.0,5.0,1.0,930.0,7.0,29.0,1.0,1.0,3.0,0.0,0.0,0.0,21.0,14.0,805.0,11.78,9.75,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,33.2536837913,835.0,4163.0,5359.0,9522.0,0.0
147444.0,100000.0,0.0,25.0,5.0,1.0,574.0,3.0,29.0,1.0,1.0,3.0,0.0,0.0,0.0,44.0,10.0,394.0,11.59,1.47,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,33.8095238095,71.0,942.0,1374.0,2316.0,0.0
15207.0,10000.0,4.0,9.0,7.0,1.0,554.0,0.0,2.0,1.0,3.0,5.0,0.0,0.0,0.0,45.0,11.0,178.0,11.34,1.52,1530.0,611.0,55.0,2102.0,582.0,1530.0,33.6363636364,37.0,52.0,437.0,489.0,1.0
15207.0,10000.0,4.0,9.0,7.0,1.0,554.0,0.0,2.0,1.0,3.0,8.0,0.0,0.0,0.0,45.0,11.0,178.0,11.34,1.52,1530.0,611.0,55.0,2102.0,582.0,1530.0,33.6363636364,37.0,52.0,437.0,489.0,1.0
15207.0,10000.0,4.0,9.0,7.0,1.0,554.0,0.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,45.0,11.0,178.0,11.34,1.52,1530.0,611.0,55.0,2102.0,582.0,1530.0,33.6363636364,37.0,52.0,437.0,489.0,0.0
15207.0,10000.0,4.0,9.0,7.0,1.0,554.0,0.0,2.0,1.0,3.0,10.0,0.0,0.0,0.0,45.0,11.0,178.0,11.34,1.52,1530.0,611.0,55.0,2102.0,582.0,1530.0,33.6363636364,37.0,52.0,437.0,489.0,1.0
15207.0,10000.0,4.0,9.0,7.0,1.0,554.0,0.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,45.0,11.0,178.0,11.34,1.52,1530.0,611.0,55.0,2102.0,582.0,1530.0,33.6363636364,37.0,52.0,437.0,489.0,1.0
15207.0,10000.0,4.0,9.0,7.0,1.0,554.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,45.0,11.0,178.0,11.34,1.52,1530.0,611.0,55.0,2102.0,582.0,1530.0,33.6363636364,37.0,52.0,437.0,489.0,1.0
144681.0,10000.0,7.0,22.0,5.0,1.0,1604.0,1.0,15.0,1.0,3.0,2.0,1.0,0.0,0.0,25.0,8.0,259.0,10.22,14.47,3019.0,470.0,125.0,2771.0,1752.0,3019.0,35.7142857143,40.0,1705.0,3931.0,5636.0,1.0
8782571.0,10000.0,19.0,33.0,13.0,1.0,763.0,5.0,302.0,2.0,3.0,1.0,1.0,1.0,1915.0,8.0,4.0,162.0,9.05,878.26,9902.0,149.0,255.0,2210.0,7407.0,9902.0,34.229426433899995,6863.0,95583.0,123799.0,219382.0,1.0
16685.0,3000.0,0.0,8.0,23.0,1.0,1144.0,1.0,8.0,1.0,1.0,0.0,1.0,1.0,104.0,41.0,16.0,184.0,17.31,5.56,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,29.9065420561,32.0,206.0,924.0,1130.0,0.0
1021481.0,12500.0,11.0,12.0,42.0,4.0,1591.0,2.0,45.0,2.0,5.0,2.0,1.0,1.0,1226.0,359.0,8.0,655.0,11.22,81.72,998.0,70.0,33.0,848.0,1579.0,998.0,32.4355971897,277.0,1278.0,9560.0,10838.0,1.0
380747.0,10000.0,6.0,21.0,13.0,1.0,1897.0,7.0,46.0,1.0,2.0,0.0,0.0,1.0,2277.0,48.0,12.0,333.0,11.41,38.07,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,29.321663019699997,134.0,2439.0,6819.0,9258.0,0.0
42792.0,40000.0,6.0,37.0,21.0,1.0,1624.0,0.0,10.0,3.0,1.0,0.0,1.0,1.0,329.0,86.0,11.0,592.0,12.29,1.07,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,27.2321428571,61.0,145.0,1132.0,1277.0,0.0
129164.0,42000.0,3.0,30.0,31.0,1.0,1079.0,8.0,7.0,1.0,1.0,0.0,1.0,0.0,0.0,56.0,17.0,759.0,10.9,3.08,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,29.020979021,83.0,1065.0,988.0,2053.0,1.0
41209.0,20000.0,1.0,17.0,9.0,1.0,567.0,4.0,49.0,2.0,3.0,5.0,0.0,1.0,654.0,20.0,6.0,209.0,8.75,2.06,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,24.657534246599997,18.0,347.0,319.0,666.0,1.0
313157.0,250000.0,0.0,28.0,25.0,2.0,2423.0,1.0,26.0,1.0,4.0,1.0,0.0,1.0,4977.0,6.0,128.0,9356.0,11.08,1.25,2600.0,1830.0,72.0,741.0,30.0,2600.0,29.501915708800002,77.0,2417.0,1828.0,4245.0,1.0
813803.0,50000.0,12.0,23.0,37.0,3.0,1474.0,2.0,33.0,2.0,4.0,3.0,1.0,0.0,0.0,128.0,17.0,579.0,10.66,16.28,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,30.072992700700002,206.0,751.0,2240.0,2991.0,0.0
20512.0,8000.0,3.0,16.0,7.0,1.0,782.0,7.0,5.0,1.0,3.0,1.0,1.0,1.0,835.0,26.0,9.0,320.0,11.24,2.56,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,28.5714285714,26.0,116.0,730.0,846.0,1.0
350749.0,78000.0,3.0,13.0,45.0,1.0,1626.0,368.0,3.0,2.0,1.0,10.0,1.0,1.0,589.0,57.0,9.0,406.0,9.28,4.5,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,29.7752808989,53.0,415.0,1730.0,2145.0,1.0
2236.0,500.0,0.0,0.0,0.0,1.0,541.0,20.0,2.0,1.0,1.0,3.0,1.0,1.0,827.0,2.0,4.0,102.0,8.76,4.47,27090.9858156028,1690.8857142857,298.5035971223,3940.9858156028004,4399.6086956521995,27090.9858156028,16.6666666667,1.0,52.0,20.0,72.0,0.0
